Sub,Cong,aPos,GroupCount,mean_aCorr
10,0,-52.5,64,0.875
10,0,-37.5,64,0.90625
10,0,-22.5,64,0.828125
10,0,-7.5,64,0.96875
10,0,7.5,64,0.953125
10,0,22.5,64,0.859375
10,0,37.5,64,0.859375
10,0,52.5,64,0.453125
10,0,67.5,64,0.40625
10,1,-67.5,16,0.8125
10,1,-52.5,16,0.75
10,1,-37.5,16,1
10,1,-22.5,16,0.75
10,1,-7.5,16,1
10,1,7.5,16,0.9375
10,1,22.5,16,0.8125
10,1,37.5,16,1
10,1,52.5,16,0.6875
10,1,67.5,16,0.25
11,0,-67.5,64,0.140625
11,0,-52.5,64,0.375
11,0,-37.5,64,0.234375
11,0,-22.5,64,0.1875
11,0,-7.5,64,0.390625
11,0,7.5,64,0.3125
11,0,22.5,64,0.265625
11,0,37.5,64,0.125
11,0,52.5,64,0.296875
11,0,67.5,64,0.046875
11,1,-67.5,16,0.0625
11,1,-52.5,16,0.25
11,1,-37.5,16,0.6875
11,1,-22.5,16,0.6875
11,1,-7.5,16,0.9375
11,1,7.5,16,0.875
11,1,22.5,16,0.8125
11,1,37.5,16,0.625
11,1,52.5,16,0.5625
11,1,67.5,16,0.125
12,0,-67.5,27,0.851851851851852
12,0,-52.5,25,0.6
12,0,-37.5,25,0.6
12,0,-22.5,25,0.8
12,0,-7.5,24,0.916666666666667
12,0,7.5,26,1
12,0,22.5,26,0.653846153846154
12,0,37.5,28,0.571428571428571
12,0,52.5,24,0.541666666666667
12,0,67.5,25,0.48
12,1,-67.5,6,0.833333333333333
12,1,-52.5,6,0.666666666666667
12,1,-37.5,6,1
12,1,-22.5,6,1
12,1,-7.5,6,1
12,1,7.5,7,1
12,1,22.5,6,1
12,1,37.5,8,1
12,1,52.5,7,0.714285714285714
12,1,67.5,7,0.571428571428571
13,0,-67.5,64,0.484375
13,0,-52.5,64,0.359375
13,0,-37.5,64,0.5
13,0,-22.5,64,0.703125
13,0,-7.5,64,0.9375
13,0,7.5,64,1
13,0,22.5,64,0.796875
13,0,37.5,64,0.65625
13,0,52.5,64,0.484375
13,0,67.5,64,0.3125
13,1,-67.5,16,0.4375
13,1,-52.5,16,0.1875
13,1,-37.5,16,0.875
13,1,-22.5,16,1
13,1,-7.5,16,1
13,1,7.5,16,1
13,1,22.5,16,0.9375
13,1,37.5,16,1
13,1,52.5,16,0.5
13,1,67.5,16,0.0625
14,0,-67.5,64,0.5625
14,0,-52.5,64,0.421875
14,0,-37.5,64,0.59375
14,0,-22.5,64,0.734375
14,0,-7.5,64,0.9375
14,0,7.5,64,0.953125
14,0,22.5,64,0.875
14,0,37.5,64,0.75
14,0,52.5,64,0.859375
14,0,67.5,64,0.453125
14,1,-67.5,16,0.3125
14,1,-52.5,16,0.625
14,1,-37.5,16,0.6875
14,1,-22.5,16,0.9375
14,1,-7.5,16,1
14,1,7.5,16,1
14,1,22.5,16,0.9375
14,1,37.5,16,0.9375
14,1,52.5,16,0.5625
14,1,67.5,16,0.3125
15,0,-67.5,64,0.875
15,0,-52.5,64,0.515625
15,0,-37.5,64,0.453125
15,0,-22.5,64,0.546875
15,0,-7.5,64,0.921875
15,0,7.5,64,0.921875
15,0,22.5,64,0.578125
15,0,37.5,64,0.453125
15,0,52.5,64,0.546875
15,0,67.5,64,0.296875
15,1,-67.5,16,0.625
15,1,-52.5,16,0.625
15,1,-37.5,16,0.6875
15,1,-22.5,16,0.9375
15,1,-7.5,16,0.9375
15,1,7.5,16,1
15,1,22.5,16,1
15,1,37.5,16,0.875
15,1,52.5,16,0.25
15,1,67.5,16,0.0625
